title,date,type,location,latitude,longitude,source,archived,verification,,notes
"Deposito petrolifero di Serpukhov ZAO ""ros-trade""",26/10/25,Drones,"Serpukhov, distretto di Serpukhov, villaggio Novoselki, regione di Mosca.",54.941428,37.0169,,,not verified,,
Sottostazione elettrica PS 110 kV «Rylsk»,27/10/25,Drones,"Rylsk, regione di Kursk.",51.565105,34.662964,,,not verified,,
Deposito petrolifero,27/10/25,Drones,"Lugansk, Ucraina",48.512353,39.312842,,,not verified,,
Deposito petrolifero,27/10/25,Drones,"Starobilsk, Ucraina",49.289531,38.926362,,,not verified,,
Raffineria di Novokuibyshevsk,02/08/2025,Drones,"Novokuibyshevsk, Oblast di Samara",53.067561,49.876177,https://www.reuters.com/business/energy/russias-kuibyshevsk-refinery-halted-operations-after-drone-attacks-sources-say-2025-08-29/,https://archive.is/WN4WA,verified,,
Raffineria di Novokuibyshevsk,20/09/25,Drones,"Novokuibyshevsk, Oblast di Samara",53.067561,49.876177,https://www.bloomberg.com/news/articles/2025-09-20/ukraine-claims-overnight-drone-strikes-on-two-russian-refineries,https://archive.is/Fg00k,verified,,
Raffineria di Novokuibyshevsk,19/10/25,Drones,"Novokuibyshevsk, Oblast di Samara",53.067561,49.876177,https://www.reuters.com/world/russias-novokuibyshevsk-oil-refinery-stops-processing-after-drone-attack-sources-2025-10-20/,https://archive.is/YEEHQ,verified,,
 Raffineria di Rjazan,02/08/2025,Drones,"Rjazan, oblast di Rjazan",54.5725405,39.7482438,https://www.reuters.com/business/energy/russias-ryazan-oil-refinery-halves-refining-capacity-after-drone-attacks-sources-2025-08-04/,https://archive.is/1UgRn,verified,,
 Raffineria di Rjazan,05/09/25,Drones,"Rjazan, oblast di Rjazan",54.5725405,39.7482438,https://www.reuters.com/markets/commodities/ukraine-says-it-attacks-russian-refinery-ryazan-oil-depot-luhansk-2025-09-05/,https://archive.is/K5SuL,verified,,
 Raffineria di Rjazan,23/10/25,Drones,"Rjazan, oblast di Rjazan",54.5725405,39.7482438,https://www.reuters.com/business/energy/russias-fourth-largest-oil-refinery-halts-processing-unit-after-drone-attack-2025-10-24/,https://archive.is/uKkeK,verified,,
 Raffineria di Afipsky,07/08/25,Drones," Afipsky, Krasnodar Krai",44.88167,38.82194,https://www.reuters.com/world/europe/fire-russias-afipsky-oil-refinery-extinguished-after-drone-attack-2025-08-07/,https://archive.is/2PZkP,verified,,
 Raffineria di Afipsky,28/08/25,Drones," Afipsky, Krasnodar Krai",44.88167,38.82194,https://www.reuters.com/business/energy/russia-says-it-put-out-fire-large-oil-refinery-after-latest-ukrainian-drone-2025-08-28/,https://archive.is/fYfTg,verified,,
